
2014-10-22 20:49:21|orderid[201]|str[QueryOrdDetail10012417512201]|hmac[48719bf9b830dc6e7ca161a4475b51fe]
2014-10-22 20:49:41|orderid[]|str[]|hmac[1d8183b528524f1a4ae40624de64914f]
2014-10-22 21:17:59|orderid[]|str[Buy100124175121CNYproductnameproducttypeproductdescdpweb.juqu8.com/yeepay3/callback.php0userId or other1]|hmac[d56527a8e48ba0ee899b03208e64956f]
2014-10-22 21:19:33|orderid[yeepay_65713034]|str[10012417512Buy1418251720022362F1.0RMBproductnameyeepay_65713034userId or other2]|hmac[ae443c7bde7bf5a6f99d0cdd651dae52]
2014-10-22 21:21:53|orderid[yeepay_65713034]|str[10012417512Buy1418251720022362F1.0RMBproductnameyeepay_65713034userId or other1]|hmac[532d051be153f7fe4136b3b52acbdb33]
2014-10-22 21:22:54|orderid[yeepay_65713034]|str[10012417512Buy1418251720022362F1.0RMBproductnameyeepay_65713034userId or other1]|hmac[532d051be153f7fe4136b3b52acbdb33]
2014-10-22 21:22:57|orderid[yeepay_65713034]|str[10012417512Buy1418251720022362F1.0RMBproductnameyeepay_65713034userId or other1]|hmac[532d051be153f7fe4136b3b52acbdb33]
2014-10-22 21:24:48|orderid[商户订单号]|str[Buy10012417512商户订单号1CNY商品名称商品种类商品描述dpweb.juqu8.com/yeepay3/callback.php0商户扩展信息支付通道编码1]|hmac[c958246a667824da7c555af4d57f6e84]
2014-10-22 21:25:52|orderid[商户订单号]|str[10012417512Buy1914243258801351I1.0RMB商品名称商户订单号商户扩展信息1]|hmac[7d1b2481a231e4d6a85c1dafc8d540cd]
2014-10-22 21:26:04|orderid[商户订单号]|str[10012417512Buy1914243258801351I1.0RMB商品名称商户订单号商户扩展信息1]|hmac[7d1b2481a231e4d6a85c1dafc8d540cd]
2014-10-22 21:26:06|orderid[商户订单号]|str[10012417512Buy1914243258801351I1.0RMB商品名称商户订单号商户扩展信息1]|hmac[7d1b2481a231e4d6a85c1dafc8d540cd]
2014-10-22 21:26:08|orderid[商户订单号]|str[10012417512Buy1914243258801351I1.0RMB商品名称商户订单号商户扩展信息2]|hmac[73afdd8fc183f6b8368b850ea632a543]
2014-10-22 21:27:00|orderid[商户订单号]|str[10012417512Buy1914243258801351I1.0RMB商品名称商户订单号商户扩展信息1]|hmac[7d1b2481a231e4d6a85c1dafc8d540cd]
2014-10-22 21:27:09|orderid[商户订单号]|str[10012417512Buy1914243258801351I1.0RMB商品名称商户订单号商户扩展信息1]|hmac[7d1b2481a231e4d6a85c1dafc8d540cd]
2014-10-22 21:27:12|orderid[商户订单号]|str[10012417512Buy1914243258801351I1.0RMB商品名称商户订单号商户扩展信息1]|hmac[7d1b2481a231e4d6a85c1dafc8d540cd]
2014-10-22 21:27:47|orderid[商户订单号]|str[10012417512Buy1914243258801351I1.0RMB商品名称商户订单号商户扩展信息1]|hmac[7d1b2481a231e4d6a85c1dafc8d540cd]
2014-10-22 21:35:17|orderid[yeepay_65713034  ]|str[QueryOrdDetail10012417512yeepay_65713034  ]|hmac[17dc02b3ed8686c4bb7543b1e533d991]
2014-10-22 21:35:33|orderid[127]|str[Buy100124175121271CNYproductnameproducttypeproductdescdpweb.juqu8.com/yeepay3/callback.php0userId or other1]|hmac[cb616341b55657ae3ba0ce829ff64846]
2014-10-22 21:35:37|orderid[]|str[]|hmac[1d8183b528524f1a4ae40624de64914f]
2014-10-22 21:36:43|orderid[127]|str[Buy100124175121271CNYproductnameproducttypeproductdescdpweb.juqu8.com/yeepay3/callback.php0userId or other1]|hmac[cb616341b55657ae3ba0ce829ff64846]
2014-10-22 22:03:29|orderid[127]|str[Buy100124175121271CNYD甯佹敮浠樹换鍔′剑閲戝彂甯冧换鍔′剑閲戞敮浠榙pweb.juqu8.com/yeepay/callback.php021]|hmac[a6788e4c1f9646ef5ddb9b4d7af99f00]
2014-10-22 22:03:56|orderid[22222]|str[Buy10012417512222221CNYproductnameproducttypeproductdescdpweb.juqu8.com/yeepay3/callback.php0userId or other1]|hmac[a686176f2d10a8dc33158ddf9521313e]
2014-10-22 22:04:29|orderid[127]|str[Buy100124175121271CNYD甯佹敮浠樹换鍔′剑閲戝彂甯冧换鍔′剑閲戞敮浠榙pweb.juqu8.com/yeepay/callback.php021]|hmac[a6788e4c1f9646ef5ddb9b4d7af99f00]
2014-10-22 22:04:59|orderid[3333]|str[Buy1001241751233331CNYproductnameproducttypeproductdescdpweb.juqu8.com/yeepay3/callback.php0userId or other1]|hmac[da60cc187940fec3e413223d0b21d283]
2014-10-22 22:05:37|orderid[127]|str[Buy100124175121271CNYD甯佹敮浠樹换鍔′剑閲戝彂甯冧换鍔′剑閲戞敮浠榙pweb.juqu8.com/yeepay/callback.php021]|hmac[a6788e4c1f9646ef5ddb9b4d7af99f00]
2014-10-22 22:07:09|orderid[127]|str[Buy100124175121271CNYD甯佹敮浠樹换鍔′剑閲戝彂甯冧换鍔′剑閲戞敮浠榙pweb.juqu8.com/yeepay/callback.php021]|hmac[a6788e4c1f9646ef5ddb9b4d7af99f00]
2014-10-22 22:08:22|orderid[127]|str[Buy100124175121271CNYD甯佹敮浠樹换鍔′剑閲戝彂甯冧换鍔′剑閲戞敮浠榙pweb.juqu8.com/yeepay/callback.php021]|hmac[a6788e4c1f9646ef5ddb9b4d7af99f00]
2014-10-22 22:10:03|orderid[222]|str[Buy100124175122221CNYproductnameproducttypeproductdescdpweb.juqu8.com/yeepay3/callback.php0userId or other1]|hmac[054a8e81bb26b91e0bb9504c83471b56]
2014-10-22 22:12:00|orderid[]|str[Buy100124175121CNYproductnameproducttypeproductdescdpweb.juqu8.com/yeepay3/callback.php0userId or other1]|hmac[d56527a8e48ba0ee899b03208e64956f]
2014-10-22 22:13:02|orderid[127]|str[Buy100124175121271CNYD甯佹敮浠樹换鍔′剑閲戝彂甯冧换鍔′剑閲戞敮浠榙pweb.juqu8.com/yeepay/callback.php021]|hmac[a6788e4c1f9646ef5ddb9b4d7af99f00]
2014-10-22 22:13:06|orderid[]|str[Buy100124175121CNYproductnameproducttypeproductdescdpweb.juqu8.com/yeepay3/callback.php0userId or other1]|hmac[d56527a8e48ba0ee899b03208e64956f]
2014-10-22 22:13:10|orderid[127]|str[Buy100124175121271CNYD甯佹敮浠樹换鍔′剑閲戝彂甯冧换鍔′剑閲戞敮浠榙pweb.juqu8.com/yeepay/callback.php021]|hmac[a6788e4c1f9646ef5ddb9b4d7af99f00]
2014-10-22 22:15:14|orderid[]|str[Buy100124175121CNYproductnameproducttypeproductdescdpweb.juqu8.com/yeepay3/callback.php0userId or other1]|hmac[d56527a8e48ba0ee899b03208e64956f]
2014-10-22 22:15:55|orderid[22]|str[Buy10012417512221CNYproductnameproducttypeproductdescdpweb.juqu8.com/yeepay3/callback.php0userId or other1]|hmac[7d417a4e9349e923bbfe2bbfd82ceb1a]
2014-10-22 22:16:56|orderid[22]|str[Buy10012417512221CNYproductnameproducttypeproductdescdpweb.juqu8.com/yeepay3/callback.php01]|hmac[8158635f85921e5d6307488634b688bb]
